lon,lat
114.11104196900,22.54552469500
114.11087532800,22.54549902500
114.11070868700,22.54547335600
114.11054204600,22.54544768600
114.11037540500,22.54542201600
114.11020876500,22.54539634600
114.11004212400,22.54537067600
114.10987548300,22.54534500700
114.10970884200,22.54531933700
114.10954220100,22.54529366700
114.11120861000,22.54555036500
114.10954220100,22.54529366700
114.11244718400,22.54572194400
114.11230956400,22.54570287900
114.11217194500,22.54568381500
114.11203432600,22.54566475100
114.11189670700,22.54564568700
114.11175908700,22.54562662200
114.11162146800,22.54560755800
114.11148384900,22.54558849400
114.11134622900,22.54556942900
114.11120861000,22.54555036500
114.11258480300,22.54574100800
114.11120861000,22.54555036500
114.11103899000,22.54556362700
114.11087053800,22.54558652700
114.11071940900,22.54566071500
114.11063775000,22.54580639700
114.11059908300,22.54597204800
114.11056911500,22.54613951700
114.11054435000,22.54630783900
114.11052275300,22.54647660000
114.11050425100,22.54664571700
114.11048924900,22.54681519600
114.11120861000,22.54555036500
114.11048924900,22.54681519600
